name,qid,human,transformer,gpt3,chat_tom
iprec_at_recall_0.30  ,144_2-17,0.75,0,0.0196,0.2759
iprec_at_recall_0.30  ,144_2-3,0.306,0.2127,0.1728,0.1501
iprec_at_recall_0.30  ,144_2-5,0.5769,0,0.5667,0.0386
iprec_at_recall_0.30  ,144_2-7,0.75,0.5455,0.4444,0.2727
iprec_at_recall_0.30  ,144_2-9,0.2222,0.1077,0.0478,0.0471
iprec_at_recall_0.30  ,144_3-1,0.0195,0,0,0
iprec_at_recall_0.30  ,145_1-1,0.2441,0.25,0.1108,0.1179
iprec_at_recall_0.30  ,145_1-3,0.0957,0.1279,0.1209,0.1146
iprec_at_recall_0.30  ,145_1-5,0.2667,0.0791,0.1333,0.2286
iprec_at_recall_0.30  ,145_1-7,0.1429,0.1212,0.0147,0.0559
iprec_at_recall_0.30  ,145_2-1,0.1429,0.0806,0.0116,0.0476
iprec_at_recall_0.30  ,145_2-3,0.1778,0.16,0.0776,0.0776
iprec_at_recall_0.30  ,145_2-5,0.3836,0.2658,0.1642,0.6136
iprec_at_recall_0.30  ,146_1-1,0.5283,0.6429,0.4737,0.4828
iprec_at_recall_0.30  ,146_1-3,0.4,0.3614,0.3511,0.4342
iprec_at_recall_0.30  ,146_1-5,0.0646,0.0597,0.5455,0.0823
iprec_at_recall_0.30  ,146_1-7,0.088,0.0766,0.039,0
iprec_at_recall_0.30  ,146_1-9,0.2802,0.1678,0.0398,0.327
iprec_at_recall_0.30  ,147_1-1,0.2211,0.1229,0.203,0.1057
iprec_at_recall_0.30  ,147_1-11,0.0458,0.063,0.0356,0.0441
iprec_at_recall_0.30  ,147_1-13,0,0.0257,0.0209,0.0304
iprec_at_recall_0.30  ,147_1-15,0,0,0.1348,0.0228
iprec_at_recall_0.30  ,147_1-7,0.1579,0,0,0
iprec_at_recall_0.30  ,147_2-1,0.0411,0.0437,0.0493,0.0554
iprec_at_recall_0.30  ,147_2-3,0.0184,0,0.0327,0.0094
iprec_at_recall_0.30  ,147_2-5,0.0593,0,0.0383,0.0226
iprec_at_recall_0.30  ,148_1-1,0.0417,0,0,0.0101
iprec_at_recall_0.30  ,148_1-3,0,0,0,0
iprec_at_recall_0.30  ,148_1-5,0,0.0109,0.0167,0.0277
iprec_at_recall_0.30  ,148_1-9,0.2685,0.2266,0.1696,0.0253
iprec_at_recall_0.30  ,148_2-3,0.0283,0,0.0178,0.0305
iprec_at_recall_0.30  ,148_2-5,0.0402,0,0.0243,0.02
iprec_at_recall_0.30  ,149_1-1,0.9231,0.9231,0.6316,0.3
iprec_at_recall_0.30  ,149_1-5,0.36,0.551,0.3797,0.232
iprec_at_recall_0.30  ,149_2-1,0.0434,0,0.0473,0.0551
iprec_at_recall_0.30  ,149_2-5,0.352,0.3125,0.3739,0.2993
iprec_at_recall_0.30  ,149_2-7,0.0771,0.0717,0.1155,0.0793
iprec_at_recall_0.30  ,149_3-1,0.0169,0,0.0155,0.0107
iprec_at_recall_0.30  ,149_3-3,0.0286,0.0373,0.1282,0.008
iprec_at_recall_0.30  ,149_3-7,0.4351,0,0.0655,0.1113
iprec_at_recall_0.30  ,149_3-9,0.7451,0.7736,0.881,0.7333
iprec_at_recall_0.30  ,all,0.2546,0.1426,0.2021,0.1853
iprec_at_recall_0.40  ,132_1-1,0.0863,0.024,0.12,0
iprec_at_recall_0.40  ,132_1-3,0.033,0.0127,0,0
iprec_at_recall_0.40  ,132_1-5,0,0,0,0
iprec_at_recall_0.40  ,132_2-1,0.2424,0,0.096,0.1043
iprec_at_recall_0.40  ,132_2-11,0,0.0194,0.0562,0.1153
iprec_at_recall_0.40  ,132_2-13,0.625,0,0.3929,0.008
iprec_at_recall_0.40  ,132_2-3,0.3125,0.1535,0,0
iprec_at_recall_0.40  ,132_2-5,0.1041,0.2447,0.0983,0.0975
iprec_at_recall_0.40  ,132_2-7,0.089,0.0343,0.1463,0.1667
iprec_at_recall_0.40  ,132_3-1,0.2746,0,0.2833,0.2394
iprec_at_recall_0.40  ,132_3-3,0.1375,0,0.1209,0
iprec_at_recall_0.40  ,132_3-5,0.0989,0,0.1071,0.0652
iprec_at_recall_0.40  ,133_1-1,0.0317,0,0.0526,0.0447
iprec_at_recall_0.40  ,133_1-3,0.0305,0.0257,0,0.0305
iprec_at_recall_0.40  ,133_1-5,0,0,0,0
iprec_at_recall_0.40  ,133_1-7,0.0221,0,0,0.0311
iprec_at_recall_0.40  ,133_2-1,0.1618,0,0.1168,0.1448
iprec_at_recall_0.40  ,133_2-3,0,0,0,0
iprec_at_recall_0.40  ,133_3-2,0.0586,0.0521,0,0
iprec_at_recall_0.40  ,133_3-4,0.099,0,0.0386,0.0302
iprec_at_recall_0.40  ,133_3-6,0.1002,0,0.0431,0.0427
iprec_at_recall_0.40  ,133_3-8,0.2018,0.0308,0.0563,0.1071
iprec_at_recall_0.40  ,135_1-1,0.1875,0.0778,0.1689,0.0925
iprec_at_recall_0.40  ,135_1-3,0,0.0168,0,0
iprec_at_recall_0.40  ,135_1-5,0.0587,0,0,0.0473
iprec_at_recall_0.40  ,135_1-7,0.0108,0,0.0379,0.0286
iprec_at_recall_0.40  ,135_2-1,0.1789,0,0.1439,0.0899
iprec_at_recall_0.40  ,135_2-11,0.0392,0,0,0
iprec_at_recall_0.40  ,135_2-3,0.1872,0,0.1949,0.0365
iprec_at_recall_0.40  ,135_2-5,0.1835,0.0145,0.0407,0.118
iprec_at_recall_0.40  ,135_2-7,0.0339,0.0181,0.0265,0
iprec_at_recall_0.40  ,135_2-9,0.125,0.1064,0.1087,0.0787
iprec_at_recall_0.40  ,135_3-1,0.0947,0.0386,0.0656,0.0949
iprec_at_recall_0.40  ,135_3-3,0,0,0,0
iprec_at_recall_0.40  ,135_3-5,0.1004,0.0752,0,0
iprec_at_recall_0.40  ,135_4-1,0.0379,0,0,0.0346
iprec_at_recall_0.40  ,136_1-1,0.3007,0.4286,0.3139,0.25
iprec_at_recall_0.40  ,136_1-11,0.5,0.5854,0.3235,0.25
iprec_at_recall_0.40  ,136_1-13,0.0703,0.056,0.0714,0.0801
iprec_at_recall_0.40  ,136_1-3,0.1003,0.2384,0.2647,0.3636
iprec_at_recall_0.40  ,136_1-5,0.0557,0.1313,0.089,0.0576
iprec_at_recall_0.40  ,136_1-7,0.2346,0.1037,0.3276,0.2517
iprec_at_recall_0.40  ,136_1-9,0.1847,0.0838,0.0693,0.1102
iprec_at_recall_0.40  ,136_2-1,0.3478,0,0,0.2308
iprec_at_recall_0.40  ,136_2-3,0.3387,0.4,0.4773,0.4674
iprec_at_recall_0.40  ,136_2-5,0.1724,0.057,0.1731,0.2353
iprec_at_recall_0.40  ,137_1-1,0.8667,0.8571,0.9231,0.875
iprec_at_recall_0.40  ,137_1-3,0.3333,0.3462,0.2759,0.0058
iprec_at_recall_0.40  ,137_1-5,0.2558,0,0.2778,0.25
iprec_at_recall_0.40  ,137_1-7,0.4,0.0179,0.1333,0.2353
iprec_at_recall_0.40  ,137_1-9,0.1724,0,0.0051,0.0256
iprec_at_recall_0.40  ,138_1-1,0,0.0631,0,0
iprec_at_recall_0.40  ,138_1-11,0.1212,0.0055,0.0504,0.0549
iprec_at_recall_0.40  ,138_1-3,0.0217,0.0795,0.0432,0
iprec_at_recall_0.40  ,138_1-5,0,0.0122,0,0
iprec_at_recall_0.40  ,138_1-7,0,0,0,0
iprec_at_recall_0.40  ,138_1-9,0.1381,0.1196,0.026,0.1507
iprec_at_recall_0.40  ,139_1-1,0.0215,0.0096,0.116,0
iprec_at_recall_0.40  ,139_1-3,0.2321,0,0.5417,0.3095
iprec_at_recall_0.40  ,139_1-5,0.5833,0,0.4828,0.0089
iprec_at_recall_0.40  ,139_1-7,0,0,0.0193,0.0216
iprec_at_recall_0.40  ,139_2-11,0.0134,0,0,0
iprec_at_recall_0.40  ,139_2-13,0,0,0,0
iprec_at_recall_0.40  ,139_2-15,0.1429,0.1206,0.0424,0.0136
iprec_at_recall_0.40  ,139_2-17,0.0368,0,0.0507,0.0275
iprec_at_recall_0.40  ,139_2-3,0.1201,0.1914,0.0494,0
iprec_at_recall_0.40  ,139_2-7,0.0876,0,0,0.0556
iprec_at_recall_0.40  ,139_2-9,0.3446,0.4563,0.3684,0.3357
iprec_at_recall_0.40  ,140_1-11,0.4375,0.3585,0.4222,0.4419
iprec_at_recall_0.40  ,140_1-3,0.4362,0.3579,0.4675,0.3617
iprec_at_recall_0.40  ,140_1-7,1,0.6316,0.9091,0.9286
iprec_at_recall_0.40  ,140_1-9,0.36,0,0,0.1096
iprec_at_recall_0.40  ,140_2-1,0.4615,0,0.3462,0.1277
iprec_at_recall_0.40  ,140_2-3,0.6923,0.4348,0.375,0.5294
iprec_at_recall_0.40  ,140_3-1,0.2857,0,0.1915,0.1557
iprec_at_recall_0.40  ,140_4-10,1,0,1,1
iprec_at_recall_0.40  ,140_4-12,0.3077,0.0129,0.2667,0.381
iprec_at_recall_0.40  ,140_4-14,0.1595,0,0.4235,0.3394
iprec_at_recall_0.40  ,140_4-16,0.2275,0,0.312,0.2516
iprec_at_recall_0.40  ,140_4-2,0.4286,0,0.3855,0.2254
iprec_at_recall_0.40  ,140_4-6,0.0237,0.0595,0.0421,0.0206
iprec_at_recall_0.40  ,140_4-8,0.5085,0.625,0.0815,0.8857
iprec_at_recall_0.40  ,141_1-1,0,0,0,0
iprec_at_recall_0.40  ,141_1-3,0,0,0,0
iprec_at_recall_0.40  ,141_1-5,0.0518,0,0,0
iprec_at_recall_0.40  ,141_2-1,0,0.0535,0,0.2065
iprec_at_recall_0.40  ,141_2-11,0.7667,0.6579,0.8846,0.7742
iprec_at_recall_0.40  ,141_2-3,0.2577,0.2396,0,0.2143
iprec_at_recall_0.40  ,141_2-9,0.2184,0.5,0,0.338
iprec_at_recall_0.40  ,142_1-3,0.4324,0.1236,0.381,0.2162
iprec_at_recall_0.40  ,142_1-5,0.2398,0.3713,0.3203,0.2721
iprec_at_recall_0.40  ,142_2-2,0.6786,0.0896,0.0217,0.1006
iprec_at_recall_0.40  ,142_3-1,0.0234,0,0.0382,0.1909
iprec_at_recall_0.40  ,142_3-3,0.3697,0.4483,0.3786,0.4031
iprec_at_recall_0.40  ,142_3-5,0.3279,0.2083,0.3443,0.2791
iprec_at_recall_0.40  ,142_4-1,0,0,0.2512,0
iprec_at_recall_0.40  ,142_5-1,0,0,0.2402,0.2475
iprec_at_recall_0.40  ,142_5-3,0,0.6,0.5743,0.4306
iprec_at_recall_0.40  ,142_5-5,0,0,0,0.13
iprec_at_recall_0.40  ,142_5-7,0.0412,0,0.3981,0.2129
iprec_at_recall_0.40  ,142_5-9,0.0346,0.0925,0.0361,0.2018
iprec_at_recall_0.40  ,142_6-1,0.0788,0,0,0
iprec_at_recall_0.40  ,142_6-3,0.0387,0,0.416,0.0387
iprec_at_recall_0.40  ,142_7-1,0,0,0.2667,0.1986
iprec_at_recall_0.40  ,142_8-1,0.4156,0.0162,0.5238,0.5238
iprec_at_recall_0.40  ,142_9-1,0.0187,0,0,0.013
iprec_at_recall_0.40  ,143_1-1,0.7333,0.6053,0.9231,0.1679
iprec_at_recall_0.40  ,143_1-11,0.1159,0.0154,0.1739,0.1067
iprec_at_recall_0.40  ,143_1-13,0.0217,0,0,0
iprec_at_recall_0.40  ,143_1-15,0.036,0,0,0
iprec_at_recall_0.40  ,143_1-17,0.0766,0,0.0728,0.0641
iprec_at_recall_0.40  ,143_1-19,0,0,0,0
iprec_at_recall_0.40  ,143_1-3,0.8,0.0146,0.1026,0.0484
iprec_at_recall_0.40  ,143_1-5,0.8,1,0.1481,0.2273
iprec_at_recall_0.40  ,143_1-7,0.1277,0.069,0.0571,0.15
iprec_at_recall_0.40  ,144_1-1,0.2328,0.0394,0.1768,0.2078
iprec_at_recall_0.40  ,144_1-3,0.0098,0,0.0145,0.0127
iprec_at_recall_0.40  ,144_1-5,0.0162,0.0229,0.0121,0.0124
iprec_at_recall_0.40  ,144_2-1,0.1444,0.0147,0.1429,0.1324
iprec_at_recall_0.40  ,144_2-11,0.2368,0.0723,0.0802,0.0264
iprec_at_recall_0.40  ,144_2-13,0.6061,0.0285,0.4082,0.5833
iprec_at_recall_0.40  ,144_2-15,0.7692,0.1538,0.0685,0.1149
iprec_at_recall_0.40  ,144_2-17,0.625,0,0.0196,0.2759
iprec_at_recall_0.40  ,144_2-3,0.2265,0.1276,0.0988,0.1046
iprec_at_recall_0.40  ,144_2-5,0.5405,0,0.4737,0.0191
iprec_at_recall_0.40  ,144_2-7,0.5333,0.2712,0.2581,0.2615
iprec_at_recall_0.40  ,144_2-9,0.1417,0.0446,0.0319,0.0471
iprec_at_recall_0.40  ,144_3-1,0.0195,0,0,0
iprec_at_recall_0.40  ,145_1-1,0.2073,0.1674,0.1035,0.0837
iprec_at_recall_0.40  ,145_1-3,0.0949,0.118,0.0829,0.0914
iprec_at_recall_0.40  ,145_1-5,0.1163,0.0791,0.0965,0.1282
iprec_at_recall_0.40  ,145_1-7,0.0667,0.0383,0.0142,0.0442
iprec_at_recall_0.40  ,145_2-1,0.1111,0.0806,0.0116,0.0317
iprec_at_recall_0.40  ,145_2-3,0.1392,0.088,0.0636,0.0636
iprec_at_recall_0.40  ,145_2-5,0.3836,0.175,0.1624,0.4412
iprec_at_recall_0.40  ,146_1-1,0.5152,0.5075,0.4268,0.4722
iprec_at_recall_0.40  ,146_1-3,0.3,0.2797,0.3008,0.3333
iprec_at_recall_0.40  ,146_1-5,0.0596,0.0535,0.2143,0.0568
iprec_at_recall_0.40  ,146_1-7,0.061,0.0531,0,0
iprec_at_recall_0.40  ,146_1-9,0.2233,0.1241,0,0.2
iprec_at_recall_0.40  ,147_1-1,0.1918,0.0839,0.1595,0.0841
iprec_at_recall_0.40  ,147_1-11,0.0374,0.0431,0,0
iprec_at_recall_0.40  ,147_1-13,0,0.0096,0.0175,0.0187
iprec_at_recall_0.40  ,147_1-15,0,0,0.0319,0.0084
iprec_at_recall_0.40  ,147_1-7,0.0943,0,0,0
iprec_at_recall_0.40  ,147_2-1,0.0282,0.0316,0.042,0.0327
iprec_at_recall_0.40  ,147_2-3,0,0,0.0254,0
iprec_at_recall_0.40  ,147_2-5,0.0313,0,0.0369,0
iprec_at_recall_0.40  ,148_1-1,0.0308,0,0,0.0101
iprec_at_recall_0.40  ,148_1-3,0,0,0,0
iprec_at_recall_0.40  ,148_1-5,0,0.0069,0.0106,0.0172
iprec_at_recall_0.40  ,148_1-9,0.19,0.1331,0.1214,0
iprec_at_recall_0.40  ,148_2-3,0.0189,0,0,0.0193
iprec_at_recall_0.40  ,148_2-5,0.0301,0,0,0
iprec_at_recall_0.40  ,149_1-1,0.5,0.5926,0.4156,0.129
iprec_at_recall_0.40  ,149_1-5,0.1481,0.3396,0.2553,0.1254
iprec_at_recall_0.40  ,149_2-1,0.028,0,0.0369,0.0551
iprec_at_recall_0.40  ,149_2-5,0.2615,0.2902,0.2692,0.2446
iprec_at_recall_0.40  ,149_2-7,0.0379,0.0528,0.0829,0.0513
iprec_at_recall_0.40  ,149_3-1,0,0,0,0
iprec_at_recall_0.40  ,149_3-3,0.0078,0.0145,0.0644,0
iprec_at_recall_0.40  ,149_3-7,0.2382,0,0.0543,0.0869
iprec_at_recall_0.40  ,149_3-9,0.7391,0.75,0.85,0.6944
iprec_at_recall_0.40  ,all,0.1974,0.1091,0.1567,0.1433
iprec_at_recall_0.50  ,132_1-1,0.0226,0.0058,0.1022,0
iprec_at_recall_0.50  ,132_1-3,0,0,0,0
iprec_at_recall_0.50  ,132_1-5,0,0,0,0
iprec_at_recall_0.50  ,132_2-1,0.1835,0,0.0461,0.0718
iprec_at_recall_0.50  ,132_2-11,0,0,0.0364,0.0627
iprec_at_recall_0.50  ,132_2-13,0.5909,0,0.2927,0.008
iprec_at_recall_0.50  ,132_2-3,0.2205,0.1276,0,0
iprec_at_recall_0.50  ,132_2-5,0.0722,0.1465,0.0636,0.0617
iprec_at_recall_0.50  ,132_2-7,0.0872,0.026,0.0779,0.0872
iprec_at_recall_0.50  ,132_3-1,0.2487,0,0.2414,0.1903
iprec_at_recall_0.50  ,132_3-3,0.0889,0,0.0875,0
iprec_at_recall_0.50  ,132_3-5,0.084,0,0.0827,0.0466
iprec_at_recall_0.50  ,133_1-1,0,0,0,0
iprec_at_recall_0.50  ,133_1-3,0,0.0213,0,0
iprec_at_recall_0.50  ,133_1-5,0,0,0,0
iprec_at_recall_0.50  ,133_1-7,0.0186,0,0,0.0311
iprec_at_recall_0.50  ,133_2-1,0.1026,0,0.1064,0.0805
iprec_at_recall_0.50  ,133_2-3,0,0,0,0
iprec_at_recall_0.50  ,133_3-2,0.0405,0.0273,0,0
iprec_at_recall_0.50  ,133_3-4,0.08,0,0.0386,0.0276
iprec_at_recall_0.50  ,133_3-6,0.0547,0,0,0
iprec_at_recall_0.50  ,133_3-8,0.1343,0.0169,0.0293,0.0784
iprec_at_recall_0.50  ,135_1-1,0.1325,0.0485,0.1203,0.0701
iprec_at_recall_0.50  ,135_1-3,0,0,0,0
iprec_at_recall_0.50  ,135_1-5,0.047,0,0,0
iprec_at_recall_0.50  ,135_1-7,0,0,0.0189,0.0176
iprec_at_recall_0.50  ,135_2-1,0.1304,0,0.1137,0.0669
iprec_at_recall_0.50  ,135_2-11,0,0,0,0
iprec_at_recall_0.50  ,135_2-3,0.1691,0,0.1548,0.0298
iprec_at_recall_0.50  ,135_2-5,0.133,0.0069,0.0172,0.0828
iprec_at_recall_0.50  ,135_2-7,0.0233,0.0154,0.0158,0
iprec_at_recall_0.50  ,135_2-9,0.1196,0.0871,0.0652,0.0242
iprec_at_recall_0.50  ,135_3-1,0.0835,0.0258,0.0474,0.0721
iprec_at_recall_0.50  ,135_3-3,0,0,0,0
iprec_at_recall_0.50  ,135_3-5,0.0722,0.0534,0,0
iprec_at_recall_0.50  ,135_4-1,0.0334,0,0,0.0346
iprec_at_recall_0.50  ,136_1-1,0.2512,0.3562,0.2806,0.2149
iprec_at_recall_0.50  ,136_1-11,0.3462,0.3462,0.2784,0.2411
iprec_at_recall_0.50  ,136_1-13,0.0434,0.0494,0.0707,0.0744
iprec_at_recall_0.50  ,136_1-3,0.0577,0.1667,0.2157,0.2699
iprec_at_recall_0.50  ,136_1-5,0.0535,0.1095,0.0631,0.0408
iprec_at_recall_0.50  ,136_1-7,0.1514,0.0696,0.2293,0.1911
iprec_at_recall_0.50  ,136_1-9,0.1562,0.0396,0.04,0.062
iprec_at_recall_0.50  ,136_2-1,0.3478,0,0,0.1207
iprec_at_recall_0.50  ,136_2-3,0.3077,0.3636,0.4444,0.437
iprec_at_recall_0.50  ,136_2-5,0.1447,0.0508,0.1566,0.2353
iprec_at_recall_0.50  ,137_1-1,0.8333,0.7826,0.8095,0.8333
iprec_at_recall_0.50  ,137_1-3,0.3,0.3462,0.2647,0
iprec_at_recall_0.50  ,137_1-5,0.2558,0,0.2778,0.2381
iprec_at_recall_0.50  ,137_1-7,0.2308,0.0168,0.0732,0.2353
iprec_at_recall_0.50  ,137_1-9,0.1622,0,0.0048,0.0111
iprec_at_recall_0.50  ,138_1-1,0,0.0348,0,0
iprec_at_recall_0.50  ,138_1-11,0.0733,0.0042,0.0343,0.0384
iprec_at_recall_0.50  ,138_1-3,0,0.015,0.0281,0
iprec_at_recall_0.50  ,138_1-5,0,0,0,0
iprec_at_recall_0.50  ,138_1-7,0,0,0,0
iprec_at_recall_0.50  ,138_1-9,0.0787,0.0915,0,0.0536
iprec_at_recall_0.50  ,139_1-1,0,0,0.0586,0
iprec_at_recall_0.50  ,139_1-3,0.1882,0,0.1798,0.1119
iprec_at_recall_0.50  ,139_1-5,0.3175,0,0.383,0
iprec_at_recall_0.50  ,139_1-7,0,0,0,0
iprec_at_recall_0.50  ,139_2-11,0,0,0,0
iprec_at_recall_0.50  ,139_2-13,0,0,0,0
iprec_at_recall_0.50  ,139_2-15,0.1299,0.1154,0,0
iprec_at_recall_0.50  ,139_2-17,0.0204,0,0.0221,0
iprec_at_recall_0.50  ,139_2-3,0.067,0.0954,0,0
iprec_at_recall_0.50  ,139_2-7,0.0533,0,0,0
iprec_at_recall_0.50  ,139_2-9,0.299,0.4196,0.3177,0.2429
iprec_at_recall_0.50  ,140_1-11,0.3194,0.1933,0.2581,0.211
iprec_at_recall_0.50  ,140_1-3,0.3121,0.2389,0.3613,0.3162
iprec_at_recall_0.50  ,140_1-7,0.8667,0.619,0.7222,0.9286
iprec_at_recall_0.50  ,140_1-9,0.2439,0,0,0.0383
iprec_at_recall_0.50  ,140_2-1,0.2529,0,0.1774,0.028
iprec_at_recall_0.50  ,140_2-3,0.2727,0.2973,0.3529,0.325
iprec_at_recall_0.50  ,140_3-1,0.2185,0,0.135,0.0957
iprec_at_recall_0.50  ,140_4-10,0.7778,0,1,1
iprec_at_recall_0.50  ,140_4-12,0.2273,0,0.2128,0.2703
iprec_at_recall_0.50  ,140_4-14,0.1479,0,0.3667,0.2588
iprec_at_recall_0.50  ,140_4-16,0.1484,0,0.2286,0.2124
iprec_at_recall_0.50  ,140_4-2,0.4211,0,0.3139,0.1591
iprec_at_recall_0.50  ,140_4-6,0.0237,0.0137,0.0377,0.0206
iprec_at_recall_0.50  ,140_4-8,0.3689,0.4935,0,0.8125
iprec_at_recall_0.50  ,141_1-1,0,0,0,0
iprec_at_recall_0.50  ,141_1-3,0,0,0,0
iprec_at_recall_0.50  ,141_1-5,0.0241,0,0,0
iprec_at_recall_0.50  ,141_2-1,0,0.0342,0,0.1155
iprec_at_recall_0.50  ,141_2-11,0.566,0.617,0.725,0.6444
iprec_at_recall_0.50  ,141_2-3,0.2203,0.1646,0,0.1793
iprec_at_recall_0.50  ,141_2-9,0.1074,0.4394,0,0.338
iprec_at_recall_0.50  ,142_1-3,0.3361,0.0939,0.3443,0.1538
iprec_at_recall_0.50  ,142_1-5,0.2153,0.2796,0.2206,0.1929
iprec_at_recall_0.50  ,142_2-2,0.6471,0.0596,0.0174,0.0669
iprec_at_recall_0.50  ,142_3-1,0,0,0,0.1163
iprec_at_recall_0.50  ,142_3-3,0.318,0.3874,0.2939,0.3084
iprec_at_recall_0.50  ,142_3-5,0.3133,0.1562,0.3165,0.2033
iprec_at_recall_0.50  ,142_4-1,0,0,0.1706,0
iprec_at_recall_0.50  ,142_5-1,0,0,0.2013,0.2089
iprec_at_recall_0.50  ,142_5-3,0,0.5,0.5035,0.361
iprec_at_recall_0.50  ,142_5-5,0,0,0,0.1218
iprec_at_recall_0.50  ,142_5-7,0,0,0.325,0.1956
iprec_at_recall_0.50  ,142_5-9,0,0.0429,0.0338,0.1405
iprec_at_recall_0.50  ,142_6-1,0.076,0,0,0
iprec_at_recall_0.50  ,142_6-3,0,0,0.3503,0
iprec_at_recall_0.50  ,142_7-1,0,0,0.1892,0.1733
iprec_at_recall_0.50  ,142_8-1,0.3704,0.0136,0.5063,0.5063
iprec_at_recall_0.50  ,142_9-1,0.0147,0,0,0
iprec_at_recall_0.50  ,143_1-1,0.7297,0.58,0.9032,0.1458
iprec_at_recall_0.50  ,143_1-11,0.0592,0.0148,0.141,0.0523
iprec_at_recall_0.50  ,143_1-13,0.0082,0,0,0
iprec_at_recall_0.50  ,143_1-15,0.0311,0,0,0
iprec_at_recall_0.50  ,143_1-17,0.0698,0,0.0682,0.0463
iprec_at_recall_0.50  ,143_1-19,0,0,0,0
iprec_at_recall_0.50  ,143_1-3,0.5357,0.006,0.0577,0.0212
iprec_at_recall_0.50  ,143_1-5,0.75,0.75,0.1471,0.2273
iprec_at_recall_0.50  ,143_1-7,0.0485,0.0636,0.0395,0.0909
iprec_at_recall_0.50  ,144_1-1,0.1638,0.0279,0.171,0.1688
iprec_at_recall_0.50  ,144_1-3,0.0083,0,0.0082,0.0084
iprec_at_recall_0.50  ,144_1-5,0.0138,0.0229,0.0075,0.0078
iprec_at_recall_0.50  ,144_2-1,0.0951,0.0127,0.1115,0.0978
iprec_at_recall_0.50  ,144_2-11,0.1415,0.0657,0.0746,0
iprec_at_recall_0.50  ,144_2-13,0.4464,0.0256,0.1938,0.4386
iprec_at_recall_0.50  ,144_2-15,0.65,0.1263,0.0632,0.1111
iprec_at_recall_0.50  ,144_2-17,0.625,0,0.0196,0.25
iprec_at_recall_0.50  ,144_2-3,0.2209,0.0613,0.0692,0.0652
iprec_at_recall_0.50  ,144_2-5,0.5333,0,0.4286,0
iprec_at_recall_0.50  ,144_2-7,0.25,0.1754,0.2255,0.198
iprec_at_recall_0.50  ,144_2-9,0.1005,0.0337,0.0217,0.0352
iprec_at_recall_0.50  ,144_3-1,0.0158,0,0,0
iprec_at_recall_0.50  ,145_1-1,0.1352,0.1373,0.0874,0.0769
iprec_at_recall_0.50  ,145_1-3,0.0857,0.118,0.0829,0.0891
iprec_at_recall_0.50  ,145_1-5,0.0966,0.0562,0.0644,0.0897
iprec_at_recall_0.50  ,145_1-7,0.0256,0.0262,0.0142,0.0407
iprec_at_recall_0.50  ,145_2-1,0.0732,0.0698,0.0116,0.0317
iprec_at_recall_0.50  ,145_2-3,0.1238,0.076,0.0576,0.0576
iprec_at_recall_0.50  ,145_2-5,0.3186,0.1316,0.1588,0.383
iprec_at_recall_0.50  ,146_1-1,0.336,0.3415,0.2877,0.28
iprec_at_recall_0.50  ,146_1-3,0.2563,0.2347,0.2183,0.2381
iprec_at_recall_0.50  ,146_1-5,0.0424,0.025,0.0962,0.0329
iprec_at_recall_0.50  ,146_1-7,0,0.0356,0,0
iprec_at_recall_0.50  ,146_1-9,0.1767,0.096,0,0.1746
iprec_at_recall_0.50  ,147_1-1,0.1115,0.0669,0.1193,0.0507
iprec_at_recall_0.50  ,147_1-11,0,0.0287,0,0
iprec_at_recall_0.50  ,147_1-13,0,0,0,0
iprec_at_recall_0.50  ,147_1-15,0,0,0.0166,0
iprec_at_recall_0.50  ,147_1-7,0.0896,0,0,0
iprec_at_recall_0.50  ,147_2-1,0,0.0178,0,0
iprec_at_recall_0.50  ,147_2-3,0,0,0,0
iprec_at_recall_0.50  ,147_2-5,0,0,0,0
iprec_at_recall_0.50  ,148_1-1,0.0187,0,0,0
iprec_at_recall_0.50  ,148_1-3,0,0,0,0
iprec_at_recall_0.50  ,148_1-5,0,0.0069,0,0
iprec_at_recall_0.50  ,148_1-9,0.1124,0.065,0.0701,0
iprec_at_recall_0.50  ,148_2-3,0,0,0,0
iprec_at_recall_0.50  ,148_2-5,0,0,0,0
iprec_at_recall_0.50  ,149_1-1,0.2985,0.4457,0.173,0.0328
iprec_at_recall_0.50  ,149_1-5,0.0588,0.194,0.1226,0.0589
iprec_at_recall_0.50  ,149_2-1,0.0176,0,0.031,0.0333
iprec_at_recall_0.50  ,149_2-5,0.2141,0.2258,0.2071,0.1977
iprec_at_recall_0.50  ,149_2-7,0,0.0338,0.0506,0
iprec_at_recall_0.50  ,149_3-1,0,0,0,0
iprec_at_recall_0.50  ,149_3-3,0,0.0043,0.0535,0
iprec_at_recall_0.50  ,149_3-7,0.1721,0,0.053,0.056
iprec_at_recall_0.50  ,149_3-9,0.6633,0.6667,0.8026,0.6634
iprec_at_recall_0.50  ,all,0.1508,0.0846,0.122,0.1107
iprec_at_recall_0.60  ,132_1-1,0.012,0,0,0
iprec_at_recall_0.60  ,132_1-3,0,0,0,0
iprec_at_recall_0.60  ,132_1-5,0,0,0,0
iprec_at_recall_0.60  ,132_2-1,0.0992,0,0.0291,0.0481
iprec_at_recall_0.60  ,132_2-11,0,0,0,0
iprec_at_recall_0.60  ,132_2-13,0.4375,0,0.2917,0
iprec_at_recall_0.60  ,132_2-3,0.1585,0.1116,0,0
iprec_at_recall_0.60  ,132_2-5,0.0531,0.0845,0.0447,0.039
